year,country_name,country_code,GPCP,RainfallGrowth,LaggedRainfallGrowth,war_prio,InternalConflict,pop,lpopl1,Mountains,lmtnest,Oil,EthnicFrac,ReligiousFrac,Democracy,GDPGrowth,LaggedGDPGrowth,InitialGDP,polity2l_6,LaggedInternalConflict
1993,Gambia,GMB,771.8702392578125,0.07241654396057129,0.05837412178516388,0,0,1039.5400390625,6.790097236633301,0,0,0,0.727814793586731,0.1818000078201294,8,-0.008393825963139534,-0.00797833502292633,1.031000018119812,1,0
1994,Gambia,GMB,907.875732421875,0.17620253562927246,0.07241654396057129,0,0,1076.2900390625,6.946533679962158,0,0,0,0.727814793586731,0.1818000078201294,8,-0.032121218740940094,-0.008393825963139534,1.031000018119812,1,0
1995,Gambia,GMB,738.38720703125,-0.1866869181394577,0.17620253562927246,0,0,1111,6.9812750816345215,0,0,0,0.727814793586731,0.1818000078201294,-7,-0.02260293811559677,-0.032121218740940094,1.031000018119812,0,0
1996,Gambia,GMB,754.6761474609375,0.02206016145646572,-0.1866869181394577,0,0,1145.8800048828125,7.0130157470703125,0,0,0,0.727814793586731,0.1818000078201294,-7,-0.008846904151141644,-0.02260293811559677,1.031000018119812,0,0
1997,Gambia,GMB,703.4141845703125,-0.06792577356100082,0.02206016145646572,0,0,1180.8800048828125,7.043928146362305,0,0,0,0.727814793586731,0.1818000078201294,-6,0.017218537628650665,-0.008846904151141644,1.031000018119812,0,0
1998,Gambia,GMB,704.9508056640625,0.0021845181472599506,-0.06792577356100082,0,0,1215.93994140625,7.074015140533447,0,0,0,0.727814793586731,0.1818000078201294,-5,0.01811434142291546,0.017218537628650665,1.031000018119812,0,0
1999,Gambia,GMB,858.1295166015625,0.21728992462158203,0.0021845181472599506,0,0,NA,7.103272438049316,0,0,0,0.727814793586731,0.1818000078201294,-5,0.034760575741529465,0.01811434142291546,1.031000018119812,0,0
1981,Mali,MLI,361.02667236328125,-0.05856148898601532,0.026990484446287155,0,0,6733,8.79330825805664,0.4000000059604645,0.3364722430706024,0,0.7783107161521912,0.1818000078201294,-7,-0.03759394958615303,-0.034482747316360474,0.5509999990463257,0,NA
1982,Mali,MLI,298.8248291015625,-0.17229154706001282,-0.05856148898601532,0,0,6883,8.814776420593262,0.4000000059604645,0.3364722430706024,0,0.7783107161521912,0.1818000078201294,-7,0.02343742921948433,-0.03759394958615303,0.5509999990463257,0,0
1983,Mali,MLI,273.8739929199219,-0.08349652588367462,-0.17229154706001282,0,0,7041,8.836810111999512,0.4000000059604645,0.3364722430706024,0,0.7783107161521912,0.1818000078201294,-7,-0.040076274424791336,0.02343742921948433,0.5509999990463257,0,0
1984,Mali,MLI,273.77874755859375,-3.477707505226135e-4,-0.08349652588367462,0,0,7210,8.859505653381348,0.4000000059604645,0.3364722430706024,0,0.7783107161521912,0.1818000078201294,-7,0.005964137613773346,-0.040076274424791336,0.5509999990463257,0,0
1985,Mali,MLI,327.9068298339844,0.197707399725914,-3.477707505226135e-4,0,0,7389,8.8832244873046875,0.4000000059604645,0.3364722430706024,0,0.7783107161521912,0.1818000078201294,-7,0.05138344690203667,0.005964137613773346,0.5509999990463257,0,0
1986,Mali,MLI,344.4751281738281,0.050527457147836685,0.197707399725914,0,0,7579,8.907747268676758,0.4000000059604645,0.3364722430706024,0,0.7783107161521912,0.1818000078201294,-7,0.03383459895849228,0.05138344690203667,0.5509999990463257,0,0
1987,Mali,MLI,289.5226745605469,-0.15952517092227936,0.050527457147836685,0,0,7780,8.933136940002441,0.4000000059604645,0.3364722430706024,0,0.7783107161521912,0.1818000078201294,-7,-0.03636370971798897,0.03383459895849228,0.5509999990463257,0,0
1988,Mali,MLI,390.8409118652344,0.3499492406845093,-0.15952517092227936,0,0,7994,8.959311485290527,0.4000000059604645,0.3364722430706024,0,0.7783107161521912,0.1818000078201294,-7,-0.02641509287059307,-0.03636370971798897,0.5509999990463257,0,0
1989,Mali,MLI,358.3258056640625,-0.08319269120693207,0.3499492406845093,0,0,8220,8.986446380615234,0.4000000059604645,0.3364722430706024,0,0.7783107161521912,0.1818000078201294,-7,0.07751942425966263,-0.02641509287059307,0.5509999990463257,0,0
1990,Mali,MLI,282.2256164550781,-0.21237708628177643,-0.08319269120693207,0,1,8460,9.014325141906738,0.4000000059604645,0.3364722430706024,0,0.7783107161521912,0.1818000078201294,-7,-0.044963985681533813,0.07751942425966263,0.5509999990463257,0,0
1991,Mali,MLI,346.76177978515625,0.2286686897277832,-0.21237708628177643,0,0,8707,9.04310417175293,0.4000000059604645,0.3364722430706024,0,0.7783107161521912,0.1818000078201294,-7,-0.06779663264751434,-0.044963985681533813,0.5509999990463257,0,1
1992,Mali,MLI,352.528076171875,0.016628984361886978,0.2286686897277832,0,0,9820,9.071882247924805,0.4000000059604645,0.3364722430706024,0,0.7783107161521912,0.1818000078201294,0,0.0548463873565197,-0.06779663264751434,0.5509999990463257,0,0
1993,Mali,MLI,322.82763671875,-0.08424985408782959,0.016628984361886978,0,0,9197.4501953125,9.192176818847656,0.4000000059604645,0.3364722430706024,0,0.7783107161521912,0.1818000078201294,7,-0.04595135524868965,0.0548463873565197,0.5509999990463257,1,0
